,Date,Close
0,2007-08-08,19.51
1,2007-08-09,24.62
2,2007-08-10,26.06
3,2007-08-13,23.99
4,2007-08-14,25.94
5,2007-08-15,28.66
6,2007-08-16,28.69
7,2007-08-17,26.57
8,2007-08-20,24.22
9,2007-08-21,23
10,2007-08-22,20.7
11,2007-08-23,20.2
12,2007-08-24,18.57
13,2007-08-27,20.22
14,2007-08-28,23.72
15,2007-08-29,21.27
16,2007-08-30,22.46
17,2007-08-31,21.47
18,2007-09-04,20.13
19,2007-09-05,22.28
20,2007-09-06,21.74
21,2007-09-07,24.05
22,2007-09-10,24.95
23,2007-09-11,22.89
24,2007-09-12,23.05
25,2007-09-13,22.41
26,2007-09-14,22.32
27,2007-09-17,23.96
28,2007-09-18,18.43
29,2007-09-19,17.64
30,2007-09-20,18.03
31,2007-09-21,16.72
32,2007-09-24,17.04
33,2007-09-25,16.44
34,2007-09-26,15.46
35,2007-09-27,15.05
36,2007-09-28,16.06
37,2007-10-01,15.98
38,2007-10-02,16.83
39,2007-10-03,17.05
40,2007-10-04,16.88
41,2007-10-05,15.41
42,2007-10-08,15.96
43,2007-10-09,14.87
44,2007-10-10,15.48
45,2007-10-11,17.7
46,2007-10-12,16.43
47,2007-10-15,18.01
48,2007-10-16,18.35
49,2007-10-17,17.19
50,2007-10-18,17.12
51,2007-10-19,21.1
52,2007-10-22,20.45
53,2007-10-23,19.04
54,2007-10-24,19.67
55,2007-10-25,19.72
56,2007-10-26,18.24
57,2007-10-29,18.46
58,2007-10-30,19.58
59,2007-10-31,17.45
60,2007-11-01,21.48
61,2007-11-02,20.98
62,2007-11-05,22.42
63,2007-11-06,20.15
64,2007-11-07,24.22
65,2007-11-08,23.82
66,2007-11-09,25.93
67,2007-11-12,26.93
68,2007-11-13,22.41
69,2007-11-14,23.71
70,2007-11-15,25.58
71,2007-11-16,23.04
72,2007-11-19,23.66
73,2007-11-20,22.75
74,2007-11-21,23.98
75,2007-11-23,23.41
76,2007-11-26,26.17
77,2007-11-27,24.16
78,2007-11-28,22.16
79,2007-11-29,21.69
80,2007-11-30,20.77
81,2007-12-03,21.37
82,2007-12-04,21.37
83,2007-12-05,20.37
84,2007-12-06,19.07
85,2007-12-07,18.83
86,2007-12-10,18.91
87,2007-12-11,21.16
88,2007-12-12,20.71
89,2007-12-13,20.71
90,2007-12-14,21.09
91,2007-12-17,22.25
92,2007-12-18,20.75
93,2007-12-19,19.7
94,2007-12-20,18.86
95,2007-12-21,16.69
96,2007-12-24,16.81
97,2007-12-26,16.96
98,2007-12-27,18.29
99,2007-12-28,18.89
100,2007-12-31,20.7
101,2008-01-02,21.19
102,2008-01-03,20.56
103,2008-01-04,22.26
104,2008-01-07,21.67
105,2008-01-08,23.4
106,2008-01-09,22.04
107,2008-01-10,21.44
